Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egz.   

Vardas1             Pavarde1            5      3      5      9      9      8      
Vardas2             Pavarde2            7      7      6      1      2      2      
Vardas3             Pavarde3            9      1      9      3      8      8      
Vardas4             Pavarde4            6      4      9      3      5      8      
Vardas5             Pavarde5            8      6      5      1      7      3      
Vardas6             Pavarde6            5      6      2      2      9      7      
Vardas7             Pavarde7            7      6      5      8      6      7      
Vardas8             Pavarde8            6      9      9      3      9      10     
Vardas9             Pavarde9            3      6      7      9      10     1      
Vardas10            Pavarde10           4      10     3      9      10     4      
Vardas11            Pavarde11           2      9      5      3      7      4      
Vardas12            Pavarde12           2      6      10     4      3      8      
Vardas13            Pavarde13           8      2      6      5      6      7      
Vardas14            Pavarde14           10     5      8      9      8      6      
Vardas15            Pavarde15           8      10     6      5      6      5      
Vardas16            Pavarde16           9      1      1      3      4      7      
Vardas17            Pavarde17           4      1      9      1      4      10     
Vardas18            Pavarde18           2      7      10     5      1      4      
Vardas19            Pavarde19           6      5      4      8      5      8      
Vardas20            Pavarde20           3      9      3      4      2      3      
Vardas21            Pavarde21           4      7      2      4      9      8      
Vardas22            Pavarde22           5      3      6      2      5      2      
Vardas23            Pavarde23           10     6      8      8      10     7      
Vardas24            Pavarde24           4      5      2      6      10     6      
Vardas25            Pavarde25           9      6      4      7      9      8      
Vardas26            Pavarde26           6      5      9      5      4      3      
Vardas27            Pavarde27           7      7      4      5      2      9      
Vardas28            Pavarde28           1      4      7      2      1      9      
Vardas29            Pavarde29           5      3      9      5      4      4      
Vardas30            Pavarde30           7      10     1      9      6      1      
Vardas31            Pavarde31           5      6      10     3      6      6      
Vardas32            Pavarde32           1      5      6      9      2      3      
Vardas33            Pavarde33           4      10     5      1      10     1      
Vardas34            Pavarde34           2      2      1      8      10     6      
Vardas35            Pavarde35           5      7      6      7      10     6      
Vardas36            Pavarde36           5      8      2      10     6      5      
Vardas37            Pavarde37           8      9      10     2      3      4      
Vardas38            Pavarde38           2      10     1      1      4      9      
Vardas39            Pavarde39           1      1      4      5      3      3      
Vardas40            Pavarde40           1      10     6      2      5      10     
Vardas41            Pavarde41           6      3      7      2      8      2      
Vardas42            Pavarde42           5      8      5      10     9      9      
Vardas43            Pavarde43           1      8      9      3      1      6      
Vardas44            Pavarde44           4      2      9      8      7      7      
Vardas45            Pavarde45           8      4      10     5      4      4      
Vardas46            Pavarde46           6      8      7      2      1      2      
Vardas47            Pavarde47           7      4      9      5      6      6      
Vardas48            Pavarde48           4      2      8      6      6      9      
Vardas49            Pavarde49           6      9      5      3      10     4      
Vardas50            Pavarde50           8      4      10     3      8      2      
Vardas51            Pavarde51           8      4      7      7      1      5      
Vardas52            Pavarde52           6      9      9      2      1      9      
Vardas53            Pavarde53           2      2      5      9      9      5      
Vardas54            Pavarde54           9      8      2      8      5      6      
Vardas55            Pavarde55           9      7      4      9      5      6      
Vardas56            Pavarde56           1      1      9      10     3      1      
Vardas57            Pavarde57           7      9      6      2      8      8      
Vardas58            Pavarde58           8      6      9      2      6      3      
Vardas59            Pavarde59           8      7      9      7      10     3      
Vardas60            Pavarde60           5      7      1      8      1      5      
Vardas61            Pavarde61           7      2      10     9      2      6      
Vardas62            Pavarde62           5      6      8      10     2      4      
Vardas63            Pavarde63           1      10     7      3      7      4      
Vardas64            Pavarde64           5      5      8      10     10     1      
Vardas65            Pavarde65           6      3      6      2      5      2      
Vardas66            Pavarde66           9      2      2      3      7      10     
Vardas67            Pavarde67           1      10     10     8      4      10     
Vardas68            Pavarde68           1      7      6      4      9      10     
Vardas69            Pavarde69           2      2      9      7      4      5      
Vardas70            Pavarde70           3      10     6      2      10     8      
Vardas71            Pavarde71           2      4      10     2      9      8      
Vardas72            Pavarde72           5      9      1      7      5      7      
Vardas73            Pavarde73           10     3      8      1      8      8      
Vardas74            Pavarde74           9      9      10     5      8      9      
Vardas75            Pavarde75           9      2      10     5      4      6      
Vardas76            Pavarde76           1      5      2      3      7      4      
Vardas77            Pavarde77           7      8      4      5      5      7      
Vardas78            Pavarde78           6      1      7      6      5      1      
Vardas79            Pavarde79           3      8      5      9      10     5      
Vardas80            Pavarde80           3      3      4      4      9      1      
